GroupeAD,samAccountName,nombre de membres
*BLANK,BLANK,30
*SYS,SYS,0
0000,0000,7
0001,0001,0
0002,0002,9
0003,0003,14
0004,0004,23
0005,0005,48
0006,0006,35
0007,0007,17
0008,0008,19
0009,0009,0
0010,0010,0
0013,0013,0
0014,0014,0
0017,0017,36
0020,0020,50
0021,0021,0
0022,0022,0
0023,0023,5
0024,0024,5
0025,0025,9
0030,0030,0
0031,0031,20
0032,0032,8
0033,0033,3
0034,0034,7
0035,0035,2
0038,0038,48
0039,0039,0
0040,0040,0
0041,0041,15
0071,0071,19
0073,0073,18
0076,0076,31
_0077,_0077,3
0078,0078,38
0079,0079,45
0080,0080,31
0081,0081,16
0082,0082,38
0083,0083,29
0084,0084,19
0085,0085,14
0086,0086,40
0087,0087,2
0088,0088,7
0089,0089,14
0090,0090,31
0091,0091,66
0092,0092,0
0093,0093,10
0094,0094,27
0100,0100,0
0104,0104,0
0105,0105,0
0109,0109,0
0110,0110,0
0119,0119,59
0120,0120,0
0150,0150,0
0199,0199,11
0200,0200,0
0210,0210,65
0212,0212,27
0214,0214,0
0218,0218,0
0219,0219,15
0220,0220,29
0221,0221,0
0222,0222,47
0223,0223,13
0224,0224,61
0225,0225,6
0226,0226,0
0227,0227,6
0228,0228,0
0230,0230,85
0231,0231,7
0232,0232,131
0233,0233,6
0234,0234,2
0240,0240,0
0250,0250,32
0260,0260,4
0261,0261,0
0262,0262,11
0263,0263,0
0264,0264,0
0270,0270,32
0271,0271,28
0272,0272,19
0273,0273,6
0274,0274,3
0275,0275,4
0276,0276,2
0277,0277,72
0278,0278,0
0279,0279,26
0280,0280,2
0281,0281,0
0282,0282,0
0283,0283,0
0290,0290,2
0295,0295,9
0301,0301,8
0302,0302,2
0306,0306,4
0312,0312,79
0313,0313,0
0314,0314,0
0315,0315,0
0316,0316,0
0320,0320,72
0400,0400,80
0401,0401,27
0402,0402,11
0404,0404,14
0405,0405,0
0406,0406,65
0410,0410,116
0411,0411,41
0412,0412,35
0414,0414,2
0415,0415,0
0416,0416,18
0417,0417,5
0418,0418,0
0420,0420,40
0421,0421,16
0422,0422,23
0423,0423,24
0424,0424,4
0425,0425,0
0427,0427,0
0428,0428,2
0430,0430,31
0431,0431,17
0432,0432,17
0439,0439,63
0440,0440,51
0441,0441,27
0442,0442,6
0443,0443,18
0444,0444,0
0445,0445,38
0446,0446,63
0447,0447,63
0448,0448,63
0449,0449,0
0451,0451,0
0452,0452,13
0453,0453,14
0454,0454,19
0455,0455,0
0456,0456,3
0457,0457,3
0458,0458,3
0459,0459,106
0460,0460,47
0461,0461,0
0463,0463,5
0464,0464,5
0465,0465,4
0466,0466,4
0467,0467,3
0468,0468,3
0469,0469,0
0470,0470,18
0471,0471,17
0472,0472,0
0473,0473,10
0474,0474,5
0475,0475,16
0477,0477,0
0478,0478,4
0479,0479,7
0480,0480,86
0482,0482,5
0483,0483,20
0490,0490,32
0491,0491,62
0492,0492,4
0494,0494,22
0496,0496,7
0497,0497,4
0498,0498,0
0499,0499,4
0500,0500,0
0501,0501,0
0503,0503,0
0504,0504,0
0505,0505,0
0506,0506,0
0507,0507,0
0520,0520,0
0521,0521,0
0522,0522,0
0523,0523,0
0530,0530,0
0531,0531,0
0532,0532,0
0533,0533,0
0534,0534,0
0535,0535,0
0536,0536,0
0537,0537,0
0700,0700,38
0701,0701,34
0702,0702,32
0703,0703,34
0704,0704,50
0705,0705,41
_0706,_0706,62
0707,0707,42
0710,0710,35
0711,0711,33
0712,0712,7
0717,0717,0
0718,0718,0
0719,0719,57
0720,0720,28
0721,0721,37
0722,0722,28
0723,0723,16
0730,0730,49
0740,0740,35
0750,0750,0
0751,0751,0
0752,0752,0
0753,0753,0
0754,0754,0
0755,0755,0
0756,0756,0
0757,0757,0
0758,0758,0
0759,0759,71
_0761,_0761,2
_0762,_0762,2
_0763,_0763,3
0770,0770,27
0771,0771,2
0772,0772,4
0775,0775,35
0776,0776,28
0777,0777,28
0778,0778,0
0780,0780,16
0781,0781,0
0791,0791,22
0792,0792,36
0794,0794,10
0800,0800,0
0809,0809,0
0810,0810,40
0840,0840,0
0841,0841,26
0843,0843,5
0845,0845,5
0846,0846,8
0847,0847,6
0848,0848,20
0849,0849,4
0850,0850,10
0851,0851,3
0852,0852,3
0853,0853,2
0854,0854,65
0855,0855,2
0856,0856,2
0900,0900,0
0901,0901,0
0902,0902,0
0903,0903,0
0904,0904,0
0907,0907,0
0910,0910,0
0911,0911,0
0912,0912,0
0913,0913,0
0915,0915,0
0920,0920,0
0921,0921,0
0923,0923,0
0930,0930,0
0940,0940,0
0960,0960,0
0970,0970,0
0972,0972,0
0980,0980,0
0981,0981,0
0982,0982,0
0983,0983,0
0984,0984,0
0986,0986,0
0987,0987,0
0995,0995,0
0999,0999,0
1000,1000,10
1003,1003,18
1030,1030,0
1038,1038,2
1119,1119,11
1210,1210,87
1223,1223,0
1230,1230,14
1231,1231,0
1232,1232,0
1240,1240,6
1260,1260,0
1270,1270,73
1280,1280,65
1290,1290,2
1300,1300,0
1314,1314,0
1315,1315,0
1320,1320,2
1410,1410,0
1460,1460,3
1700,1700,0
1710,1710,41
1720,1720,20
1730,1730,20
1740,1740,0
1751,1751,2
1752,1752,0
1753,1753,0
2000,2000,18
2038,2038,0
2100,2100,0
2104,2104,0
2105,2105,0
2109,2109,0
2110,2110,0
2119,2119,0
2120,2120,0
2220,2220,0
2223,2223,0
2230,2230,12
2231,2231,0
2232,2232,22
2240,2240,62
2260,2260,0
2270,2270,63
2279,2279,4
2280,2280,0
2290,2290,0
2310,2310,0
2313,2313,0
2314,2314,0
2320,2320,4
2400,2400,2
2460,2460,62
2470,2470,0
2700,2700,36
2710,2710,63
2720,2720,63
2730,2730,63
2740,2740,63
2999,2999,0
3000,3000,41
3001,3001,0
3038,3038,28
3087,3087,27
3100,3100,0
3104,3104,0
3105,3105,0
3110,3110,0
3210,3210,0
3214,3214,0
3219,3219,0
3220,3220,0
3230,3230,10
3232,3232,101
3235,3235,0
3250,3250,0
3270,3270,4
3279,3279,2
3312,3312,73
3313,3313,0
3314,3314,0
3315,3315,0
3320,3320,10
3400,3400,0
3408,3408,72
3417,3417,2
3420,3420,0
3451,3451,0
3453,3453,0
3454,3454,0
3460,3460,17
3464,3464,0
3469,3469,3
3473,3473,0
3710,3710,41
3711,3711,48
3720,3720,57
3730,3730,57
3740,3740,49
3750,3750,53
3760,3760,37
3770,3770,51
3771,3771,0
CCT,CCT,0
EKD,EKD,0
0434,0434,0
0508,0508,0
0604,0604,0
0670,0670,0
0671,0671,0
0672,0672,0
0782,0782,72
0610,0610,0
